market,code,ticker,name,event_date,event_type,title,summary,source,source_url,source_tier,data_status,priority,fetched_at,event_id,raw_excerpt
US,FRO,FRO,Frontline Plc Ordinary Shares,2026-09-16,filing,SEC 6-K filing,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/913290/000162828026062234/fro-20260630.htm,primary,ok,high,2026-09-17T22:26:46+00:00,2477a7f913e68a998b852023,
US,TEN,TEN,Tsakos Energy Navigation Ltd Common Shares,2026-09-17,filing,SEC 6-K filing,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1166663/000119312526394366/d67788d6k.htm,primary,ok,high,2026-09-17T22:26:46+00:00,1357d9806c5004e769a0d23f,
US,HTGC,HTGC,"Hercules Capital, Inc. Common Stock",2026-09-17,filing,SEC 8-K filing,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1280784/000128078426000046/htgc-20260917.htm,primary,ok,high,2026-09-17T22:26:46+00:00,295e1cdb5f42fbd25840a09e,
JP,4063,4063.T,信越化学工業,"Tue, 15 Sep 2026",buyback,信越化、自社株買いの実施を発表 - 株探,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMiYEFVX3lxTE90Z2NPd1QxOTN3bWtRVlNHQUhKSDVkX1JGTm9OV2xvR1V1d0VKMmJWSWpJR2F5U1VYS0RoTnBCUW5fS09xNmJtaWJDN05OYmpFR1NKazZyVWZfbXU4N2pFcw?oc=5,secondary,unverified,high,2026-09-17T22:26:48+00:00,fa6709464f10b52e5746f630,
JP,4063,4063.T,信越化学工業,"Tue, 15 Sep 2026",dividend,信越化学工業[4063]：創立100周年記念配当の実施 及び 配当予想の修正に関するお知らせ 2026年9月15日(適時開示) ：日経会社情報DIGITAL - 日本経済新聞,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMiakFVX3lxTE1UaXotSERuMUFFNlctcE9TT0NPRVhhVVNDbHRCTWFJb0VVVFFxNzd4WUY5cjZ1RWtHemd0WnFraXgySFNUZm14bzhUWm9BV0J2ZVpNSzFrMEt5UldCLVZWeFM0YVNMcmNvdHc?oc=5,secondary,unverified,high,2026-09-17T22:26:48+00:00,44ec5a2f5cc9172c246209e8,
JP,4063,4063.T,信越化学工業,"Tue, 15 Sep 2026",dividend,信越化、今期配当を20円増額修正 - 株探,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMiUkFVX3lxTE14VEdPRDlYZE1odUpxZzR6TFpHaHl5MW8zQVhPVkkxRWVYbHNXVV9JUlZZV1pZRmlGOWNSZ250aFVycHNWRkx3YnFzN040dUd5c0E?oc=5,secondary,unverified,high,2026-09-17T22:26:48+00:00,744b4f0db9f5bbb9e7d99255,
JP,4063,4063.T,信越化学工業,"Wed, 16 Sep 2026",dividend,信越化学が堅調､第2四半期末に記念配当20円実施へ - 四季報オンライン,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMiV0FVX3lxTE92Y1Z0TkNVWVJTM2tZa2ZYdTRwMnpucVdMOWVwSXZZMU1nbHBOVW51VHVUUVh0Z0FCRjVQVjVsOERIMnlWQTB0WVM3Y2JsZnNNUkR0MVlBaw?oc=5,secondary,unverified,high,2026-09-17T22:26:48+00:00,0b22ea0e2e637db4e331981d,
JP,9433,9433.T,KDDI,"Mon, 14 Sep 2026",disclosure,攻撃者より先に動くサイバーセキュリティへ - kddi-research.jp,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMieEFVX3lxTE5DaW1fSXN1ZXhWYU9fd014MXhUaEZJVkE3TGhIYk5oeVRLOXJRY1dQN1BKWkoyZ3JSZ29ZS0RxZlJPZE9haVh0eVRXNzg1OEI3cXJTQTVvYk9JdVZubWkzYUE3Y0RadUhjQTgtVHlhVU40RDJSdEtoSw?oc=5,secondary,unverified,normal,2026-09-17T22:26:48+00:00,d4da68325a93be73b50c78d3,
JP,9433,9433.T,KDDI,"Mon, 14 Sep 2026",disclosure,楽天の携帯投資、ドコモの4割どまり KDDI頼み響き5G通信網見劣り - 日本経済新聞,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMibEFVX3lxTE9uMDdtUjdIUU9XLWE5dDJpVmNIdEdPYVBaSWZoTlZsNGR1dUxaTVlJZFdHclRuYlM2cDRpSDJoQjlEZFc3a0k5VUh5SkdwTEdoTno0cXlNN05DRXJ2SjVJcnEtcERFV2pvMnVHSg?oc=5,secondary,unverified,normal,2026-09-17T22:26:48+00:00,f40c6c4f59e294eea6ce2018,
JP,6701,6701.T,NEC,"Mon, 14 Sep 2026",disclosure,日通NECロジスティクス／「NX ELESOL」へ商号変更、2027年1月から - 物流ニュースのLNEWS,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMiVEFVX3lxTE56Q29BMXdJVTdHTVJ3Ul93MUlPbTF3emQ1ZlNWNVpqYVhjREJBSDNhRUtZZmdQRnRkUGlZWk1uZ0RROG5wcFBsRXBzazVyV2huVEM1aA?oc=5,secondary,unverified,normal,2026-09-17T22:26:48+00:00,f356511724e1c4edd1d622b7,
